id,user,name,text,favourite_count,retweet,retweet_count,user_mentions,hashtags,created_at,location
1431002731771088899,MinteractApp,Super Stocks,"#Ethereum #ETH August #Futures🔻3.03% to $3,116.75 $ETH #Ether #futurestrading #future #Investment #investing… https://t.co/oyvIta3F7G",0,False,0,[],"[{'text': 'Ethereum', 'indices': [0, 9]}, {'text': 'ETH', 'indices': [10, 14]}, {'text': 'Futures', 'indices': [22, 30]}, {'text': 'Ether', 'indices': [55, 61]}, {'text': 'futurestrading', 'indices': [62, 77]}, {'text': 'future', 'indices': [78, 85]}, {'text': 'Investment', 'indices': [86, 97]}, {'text': 'investing', 'indices': [98, 108]}]",2021-08-26 21:16:52,"California, USA"
1431002588091015172,binance_BNB_BSC,binance_BNB_BSC,"Click on the link to kickstart your crypto portfolio. https://t.co/lezHdppq08 
#Bitcoin    #Crypto  #Ethereum… https://t.co/8iev0QinWQ",1,False,5,[],"[{'text': 'Bitcoin', 'indices': [79, 87]}, {'text': 'Crypto', 'indices': [91, 98]}, {'text': 'Ethereum', 'indices': [100, 109]}]",2021-08-26 21:16:18,
1431002454666194949,Iam_phemhy,John Phemhy,RT @LovecoinProject: What will be the best preforming cryptocurrency of 2022? #bitcoin #ethereum #dogecoin #lovecoin #cryptocurrencies,0,True,207,"[{'screen_name': 'LovecoinProject', 'name': 'Lovecoin Project', 'id': 1388044935094366209, 'id_str': '1388044935094366209', 'indices': [3, 19]}]","[{'text': 'bitcoin', 'indices': [78, 86]}, {'text': 'ethereum', 'indices': [87, 96]}, {'text': 'dogecoin', 'indices': [97, 106]}, {'text': 'lovecoin', 'indices': [107, 116]}, {'text': 'cryptocurrencies', 'indices': [117, 134]}]",2021-08-26 21:15:46,
1431002365113470979,imurcandyyy,MAU MENANG GA😭😭😭😭😭,"RT @LilTGems: #Binance #market #BNB #Bitcoin #Ethereum #ADA #Solana #matic 

Quick update on the #cryptocurrencies you should keep an eye o…",0,True,288,"[{'screen_name': 'LilTGems', 'name': ""Lil T's Gems"", 'id': 1425952895028105217, 'id_str': '1425952895028105217', 'indices': [3, 12]}]","[{'text': 'Binance', 'indices': [14, 22]}, {'text': 'market', 'indices': [23, 30]}, {'text': 'BNB', 'indices': [31, 35]}, {'text': 'Bitcoin', 'indices': [36, 44]}, {'text': 'Ethereum', 'indices': [45, 54]}, {'text': 'ADA', 'indices': [55, 59]}, {'text': 'Solana', 'indices': [60, 67]}, {'text': 'matic', 'indices': [68, 74]}, {'text': 'cryptocurrencies', 'indices': [97, 114]}]",2021-08-26 21:15:25,
1431002273891692554,OmgaanMetCrypto,Crypto.Venture,"New Post: Tron, Ethereum Classic, Zcash Price Analysis: 26 August https://t.co/SgCmaTzFg6

#cryptonews… https://t.co/QcCMVqyNYb",0,False,0,[],"[{'text': 'cryptonews', 'indices': [91, 102]}]",2021-08-26 21:15:03,Antwerp
1431002184343240704,kweliboi,Life of Raskweli,RT @LovecoinProject: What will be the best preforming cryptocurrency of 2022? #bitcoin #ethereum #dogecoin #lovecoin #cryptocurrencies,0,True,207,"[{'screen_name': 'LovecoinProject', 'name': 'Lovecoin Project', 'id': 1388044935094366209, 'id_str': '1388044935094366209', 'indices': [3, 19]}]","[{'text': 'bitcoin', 'indices': [78, 86]}, {'text': 'ethereum', 'indices': [87, 96]}, {'text': 'dogecoin', 'indices': [97, 106]}, {'text': 'lovecoin', 'indices': [107, 116]}, {'text': 'cryptocurrencies', 'indices': [117, 134]}]",2021-08-26 21:14:42,"Abuja, Nigeria"
1431001953908240384,galactic_ditto,Galactic Ditto,"RT @AlBandit0: 1 hour left to enter the $5 #Giveaway 🤑

I will use https://t.co/Qcu7ixwMCE to pick a winner🏆

#Crypto #Bitcoin #Btc #Crypto…",0,True,2,"[{'screen_name': 'AlBandit0', 'name': 'Tales From The Crypto', 'id': 2927294416, 'id_str': '2927294416', 'indices': [3, 13]}]","[{'text': 'Giveaway', 'indices': [43, 52]}, {'text': 'Crypto', 'indices': [110, 117]}, {'text': 'Bitcoin', 'indices': [118, 126]}, {'text': 'Btc', 'indices': [127, 131]}]",2021-08-26 21:13:47,Outer Space
1431001463950651393,Cccartman1,VERGE$lambo2022,"RT @TheLTONetwork: The #LTO network has burned over $27.8 Million in $LTO  
Coming up to the 400M remaining tokens milestone!! 

Total burn…",0,True,63,"[{'screen_name': 'TheLTONetwork', 'name': 'LTO Network', 'id': 1350895477135454208, 'id_str': '1350895477135454208', 'indices': [3, 17]}]","[{'text': 'LTO', 'indices': [23, 27]}]",2021-08-26 21:11:50,Hongkong
1431001462608482306,Deji77302659,Deji,RT @LovecoinProject: What will be the best preforming cryptocurrency of 2022? #bitcoin #ethereum #dogecoin #lovecoin #cryptocurrencies,0,True,207,"[{'screen_name': 'LovecoinProject', 'name': 'Lovecoin Project', 'id': 1388044935094366209, 'id_str': '1388044935094366209', 'indices': [3, 19]}]","[{'text': 'bitcoin', 'indices': [78, 86]}, {'text': 'ethereum', 'indices': [87, 96]}, {'text': 'dogecoin', 'indices': [97, 106]}, {'text': 'lovecoin', 'indices': [107, 116]}, {'text': 'cryptocurrencies', 'indices': [117, 134]}]",2021-08-26 21:11:50,"Lagos, Nigeria"
1431001261931905029,Amir82305022,Dogecoin army,"RT @ProTheDoge: I believe in the next 5 years the Top 5 cryptocurrencies will be:

1. #Dogecoin
2. #Ethereum 
3. #Bitcoin
4. #Cardano 
5. #…",0,True,352,"[{'screen_name': 'ProTheDoge', 'name': 'SlumDOGE Millionaire', 'id': 1358176095850229761, 'id_str': '1358176095850229761', 'indices': [3, 14]}]","[{'text': 'Dogecoin', 'indices': [86, 95]}, {'text': 'Ethereum', 'indices': [99, 108]}, {'text': 'Bitcoin', 'indices': [113, 121]}, {'text': 'Cardano', 'indices': [125, 133]}]",2021-08-26 21:11:02,Iran
